# zero shifted mathieu eigen value precision_digits=64 n=13
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,4.6080205726723946637254581753786703497894938175179363000476657445e-18,4.6080205726723946637254581753786703497894938175179363000476657445e-18,2.7266393921138429962872533582122309762068010754544001775429974819e-20,2.0571520413716047608332375382443040239900467447743701533120358643e-19,0
1.08420217248550443400745280086994171142578125e-19,9.2160411453447893276140769141199179408327189515130474715454365360e-18,9.2160411453447893276140769141199179408327189515130474715454365360e-18,5.4532787842276859926710514284733242253448041133213298648197849326e-20,4.1143040827432095222223448907474109807600069609633853878998107031e-19,0
2.1684043449710088680149056017398834228515625e-19,1.8432082290689578655880796081690144846785500759814750914196725531e-17,1.8432082290689578655880796081690144846785500759814750914196725531e-17,1.0906557568455371985728281705142097542476627668529438410767293214e-19,8.2286081654864190466681690385300336934281749765629863818301884185e-19,0
4.336808689942017736029811203479766845703125e-19,3.6864164581379157314372161177181525554892353673823777595735391971e-17,3.6864164581379157314372161177181525554892353673823777595735391971e-17,2.1813115136910743973001278803065991452599025842499276683867095841e-19,1.6457216330972838102230255105200914320797051523491917440307183614e-18,0
8.67361737988403547205962240695953369140625e-19,7.3728329162758314639186598409567994561798921780741873331787962720e-17,7.3728329162758314639186598409567994561798921780741873331787962720e-17,4.3626230273821487952181419177259168379762675609906433924134889184e-19,3.2914432661945676240036178322965216427821368143016271689056301152e-18,0
1.73472347597680709441192448139190673828125e-18,1.4745665832551662932014230103995576298548514782439873991405862645e-16,1.4745665832551662932014230103995576298548514782439873991405862645e-16,8.7252460547642975929078284639027078689636182144614639002401554113e-19,6.5828865323891352622375029096183984404267467186711556733252344462e-18,0
3.4694469519536141888238489627838134765625e-18,2.9491331665103325880736101896319062184916308494475922028965858048e-16,2.9491331665103325880736101896319062184916308494475922028965858048e-16,1.7450492109528595195701835441608912535453436978979835520098140857e-18,1.3165773064778270581396074799338217823275922210853331676258934011e-17,0
6.938893903907228377647697925567626953125e-18,5.8982663330206651828302770545949763065624590502777957323674484109e-16,5.8982663330206651828302770545949763065624590502777957323674484109e-16,3.4900984219057190430948384938431812464866621599276897824659458053e-18,2.6331546129556541390476425519082122000021850821666098018651683896e-17,0
1.387778780781445675529539585113525390625e-17,1.1796532666041330392392780810514608367053593742439175417433502657e-15,1.1796532666041330392392780810514608367053593742439175417433502657e-15,6.9801968438114381020075626097719576136411797292539499511440844125e-18,5.2663092259113083691689954719787010084166057690493296639908824253e-17,0
